Date,PEP,KO,Spread,Z_Score,Signal
2016-08-08,79.61746215820312,31.79154396057129,-13.051419035286358,,0
2016-08-09,79.72052764892578,31.813486099243164,-12.987374581455214,,0
2016-08-10,80.11809539794922,31.91595458984375,-12.77203276818652,,0
2016-08-11,79.8677749633789,32.0184211730957,-13.204575746557751,,0
2016-08-12,79.94876098632812,32.223331451416016,-13.487994107764365,,0
2016-08-15,80.04447174072266,32.37702178955078,-13.665600209302056,,0
2016-08-16,79.51435852050781,32.07696533203125,-13.662104820370075,,0
2016-08-17,79.86041259765625,32.24529266357422,-13.615397452866091,,0
2016-08-18,79.72052764892578,32.27456283569336,-13.807335325113343,,0
2016-08-19,79.63953399658203,32.14283752441406,-13.654073861862372,,0
2016-08-22,79.48492431640625,32.01109313964844,-13.574394506905122,,0
2016-08-23,79.42604064941406,32.091590881347656,-13.776432193453061,,0
2016-08-24,79.59537506103516,32.091590881347656,-13.607097781831968,,0
2016-08-25,79.42604064941406,31.959869384765625,-13.54218386176602,,0
2016-08-26,79.10945129394531,31.70370864868164,-13.403227033593978,,0
2016-08-29,79.50701141357422,31.864728927612305,-13.29201904847639,,0
2016-08-30,78.93275451660156,31.645183563232422,-13.475845099534808,,0
2016-08-31,79.14998626708984,31.784225463867188,-13.505879999543524,,0
2016-09-01,79.55036926269531,31.725675582885742,-13.00137419713532,,0
2016-09-02,79.98041534423828,31.952547073364258,-12.974787456178035,,0
2016-09-06,80.0174789428711,32.04768371582031,-13.106911122767016,,0
2016-09-07,79.49105072021484,31.937904357910156,-13.438112050627737,,0
2016-09-08,79.24639129638672,31.93058967590332,-13.669763331507426,,0
2016-09-09,77.14806365966797,30.93527603149414,-13.998064307748592,,0
2016-09-12,78.60870361328125,31.60857582092285,-13.734794232943898,,0
2016-09-13,77.54845428466797,31.195388793945312,-14.060247994730759,,0
2016-09-14,77.8895263671875,31.069961547851562,-13.49612102817214,,0
2016-09-15,78.2083511352539,31.254423141479492,-13.505335507221076,,0
2016-09-16,78.06005096435547,31.09208869934082,-13.364946487417456,,0
2016-09-19,78.34921264648438,31.062576293945312,-13.02330110363502,1.3426612260814788,0
2016-09-20,78.81633758544922,31.239660263061523,-12.871095334360575,1.7523415232006965,0
2016-09-21,79.4317398071289,31.37984848022461,-12.504998327431338,2.563070339677478,-1
2016-09-22,79.94335174560547,31.697126388549805,-12.557620949257142,2.2992107331801552,-1
2016-09-23,79.5874252319336,31.5347957611084,-12.62486505613461,1.9363477515812237,0
2016-09-26,79.35758209228516,31.025705337524414,-11.949361798294092,2.9188995463183995,-1
2016-09-27,79.69866180419922,31.424121856689453,-12.316810362725931,1.9318727055300873,0
2016-09-28,79.6170883178711,31.099475860595703,-11.82104617109593,2.4799216689432915,-1
2016-09-29,79.89885711669922,31.01093292236328,-11.381816091445671,2.700868917418721,-1
2016-09-30,80.647705078125,31.224912643432617,-11.01350125465028,2.7199616427518656,-1
2016-10-03,80.26216125488281,31.01093292236328,-11.018511953262077,2.3517669014867724,-1
2016-10-04,79.40950012207031,30.870756149291992,-11.621888223047137,1.5025599516468962,0
2016-10-05,78.601318359375,30.848615646362305,-12.390696185652331,0.5673326284579887,0
2016-10-06,78.89049530029297,30.774831771850586,-11.970304902669767,0.9906667979492919,0
2016-10-07,78.58647155761719,30.78958511352539,-12.300565408241567,0.5619172600794997,0
2016-10-10,78.75700378417969,30.78958511352539,-12.130033181679067,0.7124580708092177,0
2016-10-11,78.27507781982422,30.64938735961914,-12.362636971514917,0.405133080077123,0
2016-10-12,78.6532211303711,30.82648468017578,-12.299436574335289,0.43839495234933556,0
2016-10-13,78.5345687866211,30.811717987060547,-12.391828411512435,0.288748385829218,0
2016-10-14,79.20929718017578,30.745325088500977,-11.599029496994902,1.1679692072851187,0
2016-10-17,79.22413635253906,30.69367027282715,-11.492329430934134,1.2080073936267866,0
2016-10-18,79.29828643798828,30.966670989990234,-11.903673089514712,0.6840740842483545,0
2016-10-19,78.78668212890625,31.025705337524414,-12.520261761672998,-0.06765024829200512,0
2016-10-20,78.49752044677734,30.937149047851562,-12.651938419302951,-0.2736678323300177,0
2016-10-21,78.31214141845703,31.084735870361328,-13.099780051290793,-0.9104681643432546,0
2016-10-24,79.56520080566406,31.401992797851562,-12.410917912893964,-0.07669930237905155,0
2016-10-25,79.50587463378906,31.38723373413086,-12.44399714601144,-0.21879307756905186,0
2016-10-26,79.38725280761719,31.313440322875977,-12.431387670349551,-0.2702321544740708,0
2016-10-27,79.06102752685547,31.077342987060547,-12.337746729836766,-0.19564911423997391,0
2016-10-28,79.38725280761719,31.15849494934082,-12.155838908795417,0.058614728368708034,0
2016-10-31,79.48361206054688,31.283937454223633,-12.282561675535476,-0.24111913730637613,0
2016-11-01,79.12032318115234,31.077342987060547,-12.278451075539891,-0.2822867126119423,0
2016-11-02,79.12032318115234,31.025705337524414,-12.186620709426904,-0.11524718913115138,0
2016-11-03,79.06102752685547,31.01093292236328,-12.219645681289421,-0.21071817385846386,0
2016-11-04,78.45301818847656,30.76007652282715,-12.381541859636314,-0.5796516392755912,0
2016-11-07,79.30570220947266,31.328203201293945,-12.53919199115927,-0.8666274247560101,0
2016-11-08,80.61064910888672,31.63809585571289,-11.785346006807316,0.6951791117667918,0
