,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0,4.165246418650556,2017-05-23,2398.419921875,9.99000999000964,2018-12-07,2633.080078125,10.967427365430282,956.4599380648513,0.09574163980029161,Long,Closed,0
1,1,0,3.8175058671811755,2019-04-01,2867.18994140625,10.945514423639906,2020-03-30,2626.64990234375,10.027251413228127,-939.235776249952,-0.0858101081317199,Long,Closed,1
2,2,0,3.174828061055227,2020-07-09,3152.050048828125,10.00721694486856,2022-03-14,4173.10986328125,13.248906295811654,3218.433227700944,0.3216112177273023,Long,Closed,2
3,3,0,3.1634437613627133,2023-02-02,4179.759765625,13.222434954559503,2025-04-14,5405.97021484375,17.101482750260107,3848.7238779940058,0.2910752740490003,Long,Closed,3
4,4,0,2.7536765185840664,2025-07-01,6198.009765625,17.06731395355382,2026-08-07,7745.8798828125,0.0,4245.266281563632,0.24873663735933393,Long,Open,4
