Date,Open,High,Low,Close,Volume,Log_Return,Volatility_20d
2016-08-08,2183.760009765625,2185.43994140625,2177.85009765625,2180.889892578125,3327550000,,
2016-08-09,2182.239990234375,2187.659912109375,2178.610107421875,2181.739990234375,3334300000,0.00038971798655598234,
2016-08-10,2182.81005859375,2183.409912109375,2172.0,2175.489990234375,3254950000,-0.0028687970634882847,
2016-08-11,2177.969970703125,2188.449951171875,2177.969970703125,2185.7900390625,3423160000,0.004723415102443644,
2016-08-12,2183.739990234375,2186.280029296875,2179.419921875,2184.050048828125,3000660000,-0.0007963633869140575,
2016-08-15,2186.080078125,2193.81005859375,2186.080078125,2190.14990234375,3078530000,0.002789016294521772,
2016-08-16,2186.239990234375,2186.239990234375,2178.139892578125,2178.14990234375,3196400000,-0.0054941422164782264,
2016-08-17,2177.840087890625,2183.080078125,2168.5,2182.219970703125,3388910000,0.0018668460061555662,
2016-08-18,2181.89990234375,2187.030029296875,2180.4599609375,2187.02001953125,3300570000,0.002197201696382422,
2016-08-19,2184.239990234375,2185.0,2175.1298828125,2183.8701171875,3084800000,-0.0014413095687681864,
2016-08-22,2181.580078125,2185.14990234375,2175.9599609375,2182.639892578125,2777550000,-0.0005634818833231075,
2016-08-23,2187.81005859375,2193.419921875,2186.800048828125,2186.89990234375,3041490000,0.001949867178361733,
2016-08-24,2185.090087890625,2186.659912109375,2171.25,2175.43994140625,3148280000,-0.005254055259671874,
2016-08-25,2173.2900390625,2179.0,2169.739990234375,2172.469970703125,2969310000,-0.001366160396645455,
2016-08-26,2175.10009765625,2187.93994140625,2160.389892578125,2169.0400390625,3342340000,-0.001580064238713279,
2016-08-29,2170.18994140625,2183.47998046875,2170.18994140625,2180.3798828125,2654780000,0.005214428428674345,
2016-08-30,2179.449951171875,2182.27001953125,2170.409912109375,2176.1201171875,3006800000,-0.001955591407122778,
2016-08-31,2173.56005859375,2173.7900390625,2161.35009765625,2170.949951171875,3766390000,-0.0023786911055626065,
2016-09-01,2171.330078125,2173.56005859375,2157.090087890625,2170.860107421875,3392120000,-4.138538941144249e-05,
2016-09-02,2177.489990234375,2184.8701171875,2173.590087890625,2179.97998046875,3091120000,0.004192241599034617,
2016-09-06,2181.610107421875,2186.570068359375,2175.10009765625,2186.47998046875,3447650000,0.002977242370005349,0.003065550406999014
2016-09-07,2185.169921875,2187.8701171875,2179.070068359375,2186.159912109375,3319420000,-0.00014639593829345095,0.00306548535764063
2016-09-08,2182.760009765625,2184.93994140625,2177.489990234375,2181.300048828125,3727840000,-0.0022254881924702883,0.003035914183653661
2016-09-09,2169.080078125,2169.080078125,2127.81005859375,2127.81005859375,4233960000,-0.024827742410836417,0.0062130719502219755
2016-09-12,2120.860107421875,2163.300048828125,2119.1201171875,2159.0400390625,4010480000,0.014570387233434434,0.0071620717066420815
2016-09-13,2150.469970703125,2150.469970703125,2120.27001953125,2127.02001953125,4141670000,-0.014941748278210834,0.007793206783831886
2016-09-14,2127.860107421875,2141.330078125,2119.89990234375,2125.77001953125,3664100000,-0.0005878493998128358,0.007736630900167135
2016-09-15,2125.360107421875,2151.31005859375,2122.360107421875,2147.260009765625,3373720000,0.01005851644943989,0.008116024177320297
2016-09-16,2146.47998046875,2146.47998046875,2131.199951171875,2139.159912109375,5014360000,-0.0037794277955721,0.008109595327366135
2016-09-19,2143.989990234375,2153.610107421875,2135.909912109375,2139.1201171875,3141820000,-1.8603233824686035e-05,0.008112741570503472
2016-09-20,2145.93994140625,2150.800048828125,2139.169921875,2139.760009765625,3117380000,0.0002990934842341777,0.008117672597024136
2016-09-21,2144.580078125,2165.110107421875,2139.570068359375,2163.1201171875,3685450000,0.010858000333635954,0.008521912972860559
2016-09-22,2170.93994140625,2179.989990234375,2170.93994140625,2177.179931640625,3523860000,0.006478751917642122,0.008584413743831334
2016-09-23,2173.2900390625,2173.75,2163.969970703125,2164.68994140625,3289860000,-0.005753292959718776,0.008677779923545853
2016-09-26,2158.5400390625,2158.5400390625,2145.0400390625,2146.10009765625,3199910000,-0.008624850117916047,0.008878288150977133
2016-09-27,2146.0400390625,2161.1298828125,2141.550048828125,2159.929931640625,3414090000,0.006423495165298114,0.008923474282612734
2016-09-28,2161.85009765625,2172.39990234375,2151.7900390625,2171.3701171875,3860390000,0.005282576603642458,0.009006494634203601
2016-09-29,2168.89990234375,2172.669921875,2145.199951171875,2151.1298828125,4215620000,-0.009365127730081198,0.009231816387889627
2016-09-30,2156.510009765625,2175.300048828125,2156.510009765625,2168.27001953125,4158800000,0.0079363925880277,0.009421200934538564
2016-10-03,2164.330078125,2164.409912109375,2154.77001953125,2161.199951171875,3113850000,-0.003266023181527122,0.009391602792655301
2016-10-04,2163.3701171875,2165.4599609375,2144.010009765625,2150.489990234375,3716100000,-0.004967881786362002,0.0094077999254878
2016-10-05,2155.14990234375,2163.949951171875,2155.14990234375,2159.72998046875,3883710000,0.004287486231196994,0.00947674283580025
2016-10-06,2158.219970703125,2162.929931640625,2150.280029296875,2160.77001953125,3438040000,0.0004814438526045025,0.009471757435232424
2016-10-07,2164.18994140625,2165.860107421875,2144.85009765625,2153.739990234375,3578770000,-0.0032587874416142044,0.007594693347802418
2016-10-10,2160.389892578125,2169.60009765625,2160.389892578125,2163.659912109375,2881970000,0.004595330317324387,0.00692758065902883
2016-10-11,2161.35009765625,2161.56005859375,2128.840087890625,2136.72998046875,3393060000,-0.012524577697755964,0.006667424746162961
2016-10-12,2137.669921875,2145.360107421875,2132.77001953125,2139.179931640625,2959510000,0.0011459322063988205,0.006667533736410627
2016-10-13,2130.260009765625,2138.18994140625,2114.719970703125,2132.550048828125,3538030000,-0.0031040764122339942,0.006294275545010299
2016-10-14,2139.679931640625,2149.18994140625,2132.97998046875,2132.97998046875,3187910000,0.0002015841591211507,0.006242641700432503
2016-10-17,2132.949951171875,2135.610107421875,2124.429931640625,2126.5,2832440000,-0.0030426181118402627,0.006275960778863384
2016-10-18,2138.31005859375,2144.3798828125,2135.489990234375,2139.60009765625,3172940000,0.00614150560569863,0.006438964355841902
2016-10-19,2140.81005859375,2148.43994140625,2138.14990234375,2144.2900390625,3364990000,0.0021895721553504997,0.005941916957214123
2016-10-20,2142.510009765625,2147.179931640625,2133.43994140625,2141.340087890625,3339320000,-0.0013766711313809553,0.005716037701668083
2016-10-21,2139.429931640625,2142.6298828125,2130.090087890625,2141.159912109375,3456390000,-8.414514015477906e-05,0.0055983943963465645
2016-10-24,2148.5,2154.7900390625,2146.909912109375,2151.330078125,3359950000,0.004738594647427366,0.005376562343302516
2016-10-25,2149.719970703125,2151.43994140625,2141.929931640625,2143.159912109375,3756200000,-0.0038049574647063588,0.005230054791841214
2016-10-26,2136.969970703125,2145.72998046875,2131.590087890625,2139.429931640625,3778120000,-0.001741927921187231,0.005062256050888859
2016-10-27,2144.06005859375,2147.1298828125,2132.52001953125,2133.0400390625,4209400000,-0.0029911959060088668,0.0046766951585334076
2016-10-28,2132.22998046875,2140.719970703125,2119.360107421875,2126.409912109375,4028270000,-0.00311314013962507,0.004272478801581649
2016-10-31,2129.780029296875,2133.25,2125.530029296875,2126.14990234375,3926560000,-0.0001222838841985538,0.004241461375901233
2016-11-01,2128.679931640625,2131.449951171875,2097.85009765625,2111.719970703125,4539190000,-0.006810019108735079,0.00435482001765797
2016-11-02,2109.429931640625,2111.760009765625,2094.0,2097.93994140625,4289120000,-0.006546884453454001,0.0043481620502979984
2016-11-03,2098.800048828125,2102.56005859375,2085.22998046875,2088.659912109375,3892100000,-0.004433213022609399,0.004371990485547941
2016-11-04,2083.7900390625,2099.070068359375,2083.7900390625,2085.179931640625,3841910000,-0.0016675202716929607,0.0043565263363147255
2016-11-07,2100.590087890625,2132.0,2100.590087890625,2131.52001953125,3739720000,0.021980199729464904,0.006742437625220919
2016-11-08,2129.919921875,2146.8701171875,2123.56005859375,2139.56005859375,3921850000,0.0037648783971575305,0.0062076748939776175
2016-11-09,2131.56005859375,2170.10009765625,2125.35009765625,2163.260009765625,6267590000,0.011016119879656035,0.006672936695696741
